,チーム1の得点,チーム2の得点,ATT_diff,MID_diff,DEF_diff,OVR_diff,Result,Team1,Team2
0,1,3,-2,-5,-2,-4,-1,7,6
1,3,0,-1,2,0,2,1,6,23
2,0,6,-4,-5,-3,-4,-1,23,1
3,6,1,0,5,2,2,1,1,2
4,1,2,0,-4,-1,-2,-1,2,15
5,2,2,-5,-3,-3,-3,0,15,14
6,2,0,8,9,8,8,1,14,8
7,0,3,3,0,-1,0,-1,8,9
8,3,1,1,2,2,2,1,9,0
9,1,3,-9,-7,-10,-8,-1,0,12
10,3,1,15,8,11,9,1,12,5
11,1,1,-3,2,1,2,0,5,13
12,1,1,-3,2,1,2,0,5,13
13,1,1,-3,2,1,2,0,5,13
14,1,1,-3,2,1,2,0,5,13
15,1,3,0,-2,0,-1,-1,13,19
16,3,2,-9,-6,-7,-8,1,19,21
17,2,1,4,3,1,4,1,21,4
18,2,1,4,3,1,4,1,21,4
19,2,1,4,3,1,4,1,21,4
20,2,1,4,3,1,4,1,21,4
21,1,0,2,0,2,1,1,4,24
22,0,2,0,1,0,0,-1,24,3
23,2,2,0,-1,1,-1,0,3,18
24,2,3,-4,-4,-7,-4,-1,18,16
25,3,1,4,5,6,5,1,16,3
26,1,3,-12,-10,-7,-9,-1,3,14
27,3,1,12,11,9,10,1,14,0
28,1,1,0,-2,-1,-2,0,0,18
29,1,1,0,-2,-1,-2,0,0,18
30,1,1,0,-2,-1,-2,0,0,18
31,1,1,0,-2,-1,-2,0,0,18
32,1,2,-2,-4,-3,-3,-1,18,6
33,2,4,2,4,2,4,-1,6,24
34,4,3,-7,-6,-4,-6,1,24,15
35,3,0,4,4,2,4,1,15,23
36,0,3,-4,-5,-3,-4,-1,23,1
37,0,3,-4,-5,-3,-4,-1,23,1
38,0,3,-4,-5,-3,-4,-1,23,1
39,0,3,-4,-5,-3,-4,-1,23,1
40,3,1,-2,2,-3,-1,1,1,12
41,1,2,5,5,9,6,-1,12,8
42,2,2,-2,-3,-4,-4,0,8,21
43,2,4,4,3,1,4,-1,21,4
44,4,1,2,1,2,1,1,4,7
45,1,2,6,2,3,2,-1,7,5
46,2,2,-7,-3,-3,-3,0,5,9
47,2,4,-3,-4,-6,-4,-1,9,16
48,4,4,7,9,10,9,0,16,13
49,4,0,0,-2,0,-1,1,13,19
50,0,5,-10,-5,-7,-7,-1,19,2
51,5,1,4,0,1,2,1,2,23
52,1,1,3,4,4,3,0,23,0
53,1,3,0,-2,-2,-1,-1,0,24
54,3,4,-7,-6,-4,-6,-1,24,15
55,4,3,-5,-3,-3,-3,1,15,14
56,3,1,18,12,10,11,1,14,5
57,3,1,18,12,10,11,1,14,5
58,3,1,18,12,10,11,1,14,5
59,3,1,18,12,10,11,1,14,5
60,1,3,-12,-6,-6,-7,-1,5,21
61,3,2,6,4,3,5,1,21,3
62,2,4,-9,-6,-8,-7,-1,3,12
63,4,1,7,1,6,3,1,12,6
64,1,1,2,4,3,3,0,6,18
65,1,2,-7,-7,-6,-5,-1,18,1
66,2,0,6,7,5,5,1,1,9
67,0,0,-3,0,1,0,0,9,8
68,0,4,7,5,3,5,-1,8,13
69,4,0,-5,-5,-6,-5,1,13,4
70,0,3,2,1,2,1,-1,4,7
71,3,2,3,2,4,3,1,7,19
72,2,1,-10,-5,-7,-7,1,19,2
73,1,3,3,-2,-3,-1,-1,2,16
74,3,0,2,4,4,4,1,16,4
75,0,0,2,0,2,1,0,4,24
76,0,2,3,3,4,3,-1,24,19
77,2,2,-6,-5,-6,-5,0,19,23
78,2,0,3,4,4,3,1,23,0
79,0,4,-9,-7,-10,-8,-1,0,12
80,4,5,2,-2,3,1,-1,12,1
81,5,0,7,8,5,6,1,1,7
82,0,3,0,0,0,0,-1,7,3
83,3,2,0,-1,1,-1,1,3,18
84,2,0,-4,0,0,0,1,18,8
85,0,0,-3,-2,-4,-3,0,8,2
86,0,2,0,-4,-1,-2,-1,2,15
87,2,2,1,3,1,1,0,15,21
88,2,1,4,-1,1,1,1,21,6
89,1,0,1,4,2,3,1,6,9
90,0,2,-3,-4,-6,-4,-1,9,16
91,2,3,-8,-5,-1,-4,-1,16,14
92,1,0,-6,-7,-6,-6,1,13,23
93,0,0,1,2,0,1,0,23,4
