,player,STA,SUB,G,A,SHO,PAS,FK,COR,FC,FS,Y,R,PEN,Mins,Team
0,Phil Foden,21,2,8,7,31,993,0,18,9,35,1,0,0,1866,manchester-city
1,Rodri ,20,0,5,3,31,2009,0,3,27,17,7,1,0,1720,manchester-city
2,Bernardo Silva,17,2,6,4,18,1068,0,11,10,13,4,0,0,1512,manchester-city
3,Mateo Kovacic,9,8,0,0,5,798,0,0,10,7,3,0,0,862,manchester-city
4,Jack Grealish,7,7,3,1,0,374,0,6,5,25,6,0,0,702,manchester-city
5,Matheus Nunes,5,5,0,2,0,266,0,2,4,10,0,0,0,441,manchester-city
6,Kevin De Bruyne,3,2,1,4,7,202,0,20,3,1,0,0,0,237,manchester-city
7,Oscar Bobb,0,7,1,1,0,66,0,0,1,3,0,0,0,113,manchester-city
8,Sergio Gomez,0,3,0,1,0,17,0,1,1,0,0,0,0,17,manchester-city
9,Declan Rice,24,0,4,4,18,1533,0,12,19,9,3,0,0,2066,arsenal
10,Bukayo Saka,23,0,10,7,37,922,0,77,26,47,2,0,3,1994,arsenal
11,Martin Odegaard,21,0,4,5,26,1139,0,13,22,19,1,0,2,1871,arsenal
12,Kai Havertz,16,7,4,1,14,517,0,0,28,28,6,0,1,1441,arsenal
13,Jorginho ,5,9,0,1,0,391,0,1,3,8,1,0,0,490,arsenal
14,Thomas Partey,3,1,0,0,0,227,0,0,0,2,0,0,0,251,arsenal
15,Fabio Vieira,2,6,1,2,5,105,0,2,4,9,0,1,1,238,arsenal
16,Emile Smith-Rowe,2,6,0,1,2,126,0,1,3,0,0,0,0,209,arsenal
17,Mohamed Elneny,0,2,0,1,2,32,0,0,1,0,0,0,0,23,arsenal
18,Marcus Tavernier,17,3,2,4,19,533,0,25,13,20,1,0,0,1473,bournemouth
19,Lewis Cook,17,1,0,1,0,631,0,28,22,8,3,1,0,1447,bournemouth
20,Milos Kerkez,13,5,0,1,0,412,0,0,16,13,2,0,0,1231,bournemouth
21,Philip Billing,12,8,2,3,10,403,0,0,15,11,3,1,0,1202,bournemouth
22,Alex Scott,6,4,1,1,5,199,0,17,8,15,2,0,0,543,bournemouth
23,Romain Faivre,0,2,0,0,0,11,0,0,0,2,1,0,0,5,bournemouth
24,Pascal Gross,21,1,4,8,23,1640,0,68,16,17,3,0,1,1912,brighton-and-hove-albion
25,Billy Gilmour,18,5,0,1,11,1453,0,11,18,23,4,0,0,1611,brighton-and-hove-albion
26,Kaoru Mitoma,14,4,3,4,21,584,0,1,13,20,4,0,0,1412,brighton-and-hove-albion
27,Jack Hinshelwood,8,4,3,0,11,403,0,0,11,4,1,0,0,870,brighton-and-hove-albion
28,Facundo Valentin Buonanotte,10,6,2,1,8,234,0,1,18,26,5,0,0,778,brighton-and-hove-albion
29,James Milner,11,4,0,2,3,498,0,3,10,5,3,0,0,777,brighton-and-hove-albion
30,Carlos Baleba,7,8,0,0,7,373,0,0,20,9,4,0,0,594,brighton-and-hove-albion
31,Adam Lallana,9,8,0,1,4,326,0,0,3,9,1,0,0,574,brighton-and-hove-albion
32,Solly March,7,0,3,1,6,212,0,11,11,7,1,0,0,559,brighton-and-hove-albion
33,Mahmoud Dahoud,6,3,0,1,0,305,0,0,4,2,1,1,0,454,brighton-and-hove-albion
34,Jakub Moder,0,6,0,0,0,45,0,0,4,1,1,0,0,82,brighton-and-hove-albion
35,Benicio Boaitey,0,4,0,0,0,13,0,0,0,0,0,0,0,12,brighton-and-hove-albion
36,Conor Gallagher,23,0,2,4,21,1169,0,30,52,34,4,1,0,1915,chelsea
37,Moises Caicedo,19,2,0,1,3,1159,0,0,36,27,6,0,0,1678,chelsea
38,Enzo Fernandez,19,2,3,0,21,1226,0,15,23,30,6,0,1,1627,chelsea
39,Cole Palmer,16,4,10,6,30,807,0,14,13,16,6,0,5,1497,chelsea
40,Lesley Ugochukwu,3,7,0,0,0,147,0,0,4,2,2,0,0,267,chelsea
41,Carney Chukwuemeka,2,3,1,1,0,96,0,0,2,1,2,0,0,168,chelsea
42,Romeo Lavia,0,1,0,0,0,26,0,0,1,1,0,0,0,32,chelsea
43,Cesare Casadei,0,1,0,0,0,9,0,0,0,0,0,0,0,5,chelsea
44,James Garner,22,1,1,1,15,631,0,29,22,30,5,0,0,1968,everton
45,Jarrad Branthwaite,21,0,1,0,4,658,0,0,22,14,7,0,0,1890,everton
46,Dwight McNeil,19,2,2,4,20,558,0,31,14,17,1,0,0,1660,everton
47,Abdoulaye Doucoure,18,0,6,2,17,500,0,1,33,6,4,0,0,1536,everton
48,Jack Harrison,17,1,3,4,12,367,0,3,12,22,0,0,0,1480,everton
